,x,t,obstacles
443,False,True,True
444,False,True,True
445,False,True,True
446,False,True,True
447,False,True,True
449,False,True,True
450,False,True,True
451,True,True,True
452,False,True,True
453,False,True,True
454,False,True,True
455,False,True,True
456,False,True,True
457,False,True,True
458,False,True,True
459,False,True,True
460,False,True,True
461,False,True,True
462,False,True,True
463,False,True,True
464,False,True,True
465,False,True,True
466,False,True,True
467,False,True,True
468,True,True,True
469,False,True,True
470,False,True,True
471,False,True,True
472,False,True,True
473,False,True,True
474,False,True,True
475,False,True,True
476,False,True,True
477,False,True,True
478,False,True,True
479,False,True,True
480,False,True,True
481,False,True,True
482,True,True,True
483,False,True,True
484,False,True,True
485,False,True,True
486,False,True,True
487,False,True,True
488,True,True,True
489,False,True,True
490,False,True,True
491,False,True,True
492,True,True,True
493,False,True,True
494,False,True,True
495,False,True,True
496,False,True,True
497,False,True,True
498,False,True,True
499,True,True,True
500,False,True,True
501,False,True,True
502,False,True,True
503,False,True,True
504,False,True,True
505,False,True,True
506,False,True,True
507,False,True,True
508,False,True,True
509,False,True,True
510,False,True,True
511,False,True,True
512,True,True,True
513,False,True,True
514,False,True,True
515,True,True,True
516,True,True,True
517,False,True,True
518,False,True,True
519,False,True,True
520,False,True,True
521,False,True,True
522,False,True,True
523,False,True,True
524,False,True,True
525,False,True,True
526,False,True,True
527,False,True,True
528,False,True,True
529,True,True,True
530,True,True,True
531,False,True,True
532,False,True,True
533,True,True,True
534,False,True,True
535,True,True,True
536,True,True,True
537,False,True,True
538,False,True,True
539,True,True,True
540,False,True,True
541,True,True,True
542,True,True,True
543,False,True,True
544,False,True,True
545,False,True,True
546,False,True,True
547,False,True,True
548,False,True,True
549,True,True,True
550,True,True,True
551,False,True,True
552,False,True,True
553,False,True,True
554,False,True,True
555,False,True,True
556,False,True,True
557,False,True,True
558,True,True,True
559,False,True,True
560,False,True,True
561,True,True,True
562,False,True,True
563,True,True,True
564,False,True,True
565,False,True,True
566,False,True,True
567,False,True,True
568,False,True,True
569,False,True,True
570,False,True,True
571,False,True,True
572,False,True,True
573,True,True,True
574,False,True,True
575,False,True,True
577,False,True,True
578,False,True,True
579,False,True,True
581,True,True,True
582,False,True,True
583,False,True,True
584,False,True,True
585,False,True,True
586,False,True,True
587,False,True,True
588,False,True,True
589,False,True,True
590,False,True,True
591,False,True,True
592,False,True,True
593,True,True,True
594,False,True,True
595,False,True,True
596,False,True,True
597,True,True,True
598,False,True,True
599,True,True,True
600,False,True,True
601,True,True,True
602,False,True,True
603,True,True,True
604,False,True,True
605,False,True,True
606,False,True,True
607,True,True,True
608,False,True,True
609,False,True,True
610,False,True,True
611,False,True,True
612,False,True,True
613,False,True,True
614,False,True,True
615,False,True,True
616,False,True,True
617,True,True,True
618,False,True,True
619,False,True,True
620,True,True,True
621,False,True,True
622,False,True,True
624,True,True,True
625,False,True,True
626,True,True,True
627,False,True,True
628,False,True,True
629,False,True,True
630,False,True,True
631,False,True,True
632,True,True,True
633,False,True,True
634,True,True,True
635,False,True,True
636,False,True,True
637,False,True,True
638,False,True,True
639,False,True,True
640,False,True,True
641,False,True,True
643,False,True,True
644,False,True,True
645,False,True,True
647,False,True,True
648,False,True,True
649,True,True,True
650,False,True,True
651,False,True,True
652,False,True,True
653,False,True,True
654,False,True,True
656,True,True,True
657,False,True,True
658,False,True,True
659,False,True,True
660,False,True,True
661,False,True,True
662,False,True,True
664,True,True,True
665,False,True,True
666,False,True,True
667,False,True,True
668,False,True,True
669,False,True,True
670,True,True,True
671,True,True,True
672,True,True,True
673,False,True,True
674,False,True,True
675,True,True,True
676,False,True,True
677,False,True,True
678,False,True,True
679,False,True,True
680,False,True,True
681,False,True,True
682,False,True,True
683,False,True,True
684,False,True,True
685,False,True,True
686,False,True,True
687,False,True,True
688,False,True,True
689,False,True,True
690,True,True,True
691,False,True,True
692,False,True,True
693,False,True,True
694,False,True,True
695,False,True,True
696,False,True,True
697,False,True,True
698,False,True,True
699,False,True,True
700,True,True,True
701,False,True,True
702,False,True,True
703,False,True,True
704,False,True,True
705,False,True,True
706,False,True,True
707,False,True,True
708,False,True,True
709,False,True,True
710,False,True,True
711,True,True,True
712,True,True,True
713,False,True,True
714,False,True,True
715,False,True,True
716,False,True,True
717,False,True,True
718,False,True,True
719,False,True,True
720,False,True,True
721,True,True,True
722,False,True,True
723,False,True,True
724,False,True,True
725,False,True,True
726,False,True,True
727,False,True,True
728,False,True,True
729,True,True,True
730,False,True,True
731,False,True,True
732,False,True,True
733,False,True,True
734,True,True,True
735,False,True,True
736,True,True,True
737,True,True,True
738,False,True,True
739,False,True,True
740,False,True,True
741,True,True,True
742,False,True,True
743,False,True,True
745,False,True,True
746,False,True,True
747,False,True,True
748,False,True,True
749,False,True,True
750,False,True,True
751,False,True,True
752,False,True,True
753,False,True,True
754,False,True,True
755,False,True,True
756,False,True,True
757,False,True,True
758,False,True,True
759,True,True,True
760,False,True,True
761,False,True,True
762,False,True,True
763,True,True,True
765,True,True,True
766,False,True,True
767,False,True,True
768,False,True,True
769,False,True,True
770,False,True,True
771,False,True,True
772,False,True,True
773,False,True,True
774,False,True,True
776,False,True,True
777,False,True,True
778,False,True,True
779,True,True,True
780,False,True,True
781,False,True,True
782,False,True,True
783,False,True,True
784,False,True,True
785,False,True,True
786,False,True,True
787,True,True,True
788,False,True,True
789,False,True,True
790,False,True,True
791,False,True,True
792,False,True,True
793,False,True,True
794,False,True,True
795,True,True,True
796,True,True,True
797,False,True,True
798,False,True,True
799,False,True,True
800,False,True,True
801,False,True,True
802,False,True,True
803,False,True,True
804,False,True,True
805,False,True,True
806,False,True,True
807,False,True,True
808,False,True,True
809,False,True,True
810,False,True,True
811,False,True,True
812,False,True,True
813,False,True,True
814,False,True,True
815,False,True,True
816,False,True,True
817,False,True,True
818,True,True,True
820,False,True,True
821,False,True,True
822,False,True,True
823,False,True,True
824,False,True,True
825,False,True,True
826,False,True,True
827,False,True,True
828,False,True,True
829,False,True,True
830,False,True,True
831,False,True,True
832,False,True,True
833,False,True,True
834,False,True,True
835,False,True,True
836,True,True,True
837,False,True,True
838,True,True,True
839,False,True,True
840,False,True,True
841,False,True,True
842,True,True,True
843,False,True,True
844,False,True,True
845,True,True,True
846,False,True,True
847,True,True,True
848,False,True,True
849,False,True,True
850,False,True,True
851,False,True,True
852,False,True,True
853,True,True,True
854,False,True,True
855,False,True,True
856,False,True,True
857,False,True,True
858,False,True,True
859,False,True,True
860,False,True,True
861,True,True,True
862,True,True,True
863,False,True,True
864,False,True,True
865,True,True,True
866,False,True,True
867,False,True,True
868,False,True,True
869,False,True,True
870,True,True,True
871,False,True,True
872,True,True,True
873,False,True,True
874,False,True,True
875,False,True,True
876,False,True,True
877,False,True,True
878,True,True,True
879,False,True,True
880,False,True,True
881,False,True,True
882,False,True,True
883,True,True,True
884,False,True,True
885,True,True,True
886,False,True,True
887,False,True,True
888,False,True,True
889,False,True,True
890,False,True,True
891,False,True,True
892,False,True,True
893,False,True,True
894,False,True,True
895,False,True,True
896,False,True,True
897,False,True,True
898,False,True,True
899,False,True,True
900,False,True,True
901,False,True,True
902,False,True,True
903,False,True,True
904,False,True,True
905,False,True,True
906,False,True,True
907,False,True,True
908,False,True,True
909,False,True,True
911,False,True,True
912,False,True,True
913,False,True,True
914,False,True,True
915,True,True,True
916,True,True,True
917,False,True,True
918,True,True,True
919,False,True,True
920,False,True,True
921,False,True,True
922,True,True,True
923,False,True,True
924,False,True,True
925,False,True,True
926,False,True,True
927,False,True,True
928,False,True,True
929,False,True,True
930,False,True,True
931,False,True,True
932,False,True,True
934,False,True,True
935,True,True,True
936,True,True,True
937,False,True,True
938,False,True,True
939,False,True,True
940,False,True,True
941,False,True,True
942,True,True,True
943,False,True,True
944,True,True,True
945,False,True,True
946,True,True,True
947,False,True,True
948,False,True,True
949,False,True,True
950,False,True,True
951,False,True,True
952,False,True,True
953,False,True,True
954,False,True,True
955,False,True,True
956,False,True,True
957,False,True,True
958,True,True,True
959,False,True,True
960,False,True,True
961,False,True,True
962,True,True,True
963,False,True,True
964,False,True,True
965,True,True,True
966,False,True,True
967,False,True,True
968,False,True,True
969,False,True,True
971,False,True,True
972,False,True,True
973,False,True,True
974,True,True,True
975,True,True,True
976,False,True,True
977,False,True,True
978,False,True,True
979,False,True,True
980,False,True,True
981,False,True,True
982,False,True,True
983,True,True,True
984,False,True,True
985,False,True,True
986,False,True,True
987,False,True,True
988,False,True,True
989,False,True,True
990,False,True,True
991,True,True,True
992,False,True,True
993,False,True,True
994,False,True,True
995,False,True,True
997,False,True,True
998,False,True,True
999,True,True,True
1000,False,True,True
1001,True,True,True
1002,False,True,True
1003,False,True,True
1004,False,True,True
1005,False,True,True
1006,False,True,True
1007,True,True,True
1008,False,True,True
1009,False,True,True
1010,True,True,True
1011,False,True,True
1012,False,True,True
1013,False,True,True
1014,False,True,True
1015,False,True,True
1016,False,True,True
1017,False,True,True
1018,False,True,True
1019,False,True,True
1020,False,True,True
1021,True,True,True
1022,False,True,True
1023,False,True,True
1024,True,True,True
1025,False,True,True
1026,True,True,True
1027,False,True,True
1028,False,True,True
1029,True,True,True
1030,False,True,True
1031,False,True,True
1032,False,True,True
1033,False,True,True
1034,False,True,True
1035,False,True,True
1036,False,True,True
1037,False,True,True
1038,False,True,True
1039,False,True,True
1040,False,True,True
1041,False,True,True
1042,False,True,True
1043,False,True,True
1044,False,True,True
1045,False,True,True
1046,True,True,True
1047,False,True,True
1048,False,True,True
1049,True,True,True
1050,False,True,True
1051,False,True,True
1052,False,True,True
1053,False,True,True
1054,False,True,True
1055,False,True,True
1056,False,True,True
1057,True,True,True
1058,False,True,True
1059,False,True,True
1060,False,True,True
1061,False,True,True
1062,False,True,True
1063,False,True,True
1064,False,True,True
1065,False,True,True
1066,True,True,True
1067,False,True,True
1068,False,True,True
1069,False,True,True
1070,False,True,True
1071,False,True,True
1072,False,True,True
1073,True,True,True
1074,False,True,True
1075,False,True,True
1076,False,True,True
1077,False,True,True
1078,False,True,True
1079,False,True,True
1080,False,True,True
1082,False,True,True
1083,True,True,True
1084,False,True,True
1085,False,True,True
1086,False,True,True
1087,False,True,True
1088,False,True,True
1089,False,True,True
1090,False,True,True
1091,True,True,True
1092,False,True,True
1093,False,True,True
1094,False,True,True
1095,False,True,True
1096,False,True,True
1097,False,True,True
1098,False,True,True
1099,False,True,True
1100,False,True,True
1101,False,True,True
1102,False,True,True
1103,False,True,True
1104,False,True,True
1105,False,True,True
1106,False,True,True
1107,False,True,True
1108,False,True,True
1109,False,True,True
1110,False,True,True
1111,False,True,True
1112,True,True,True
1113,False,True,True
1114,False,True,True
1115,False,True,True
1116,False,True,True
1117,False,True,True
1118,False,True,True
1119,False,True,True
1120,True,True,True
1121,True,True,True
1122,False,True,True
1123,False,True,True
1124,False,True,True
1125,False,True,True
1126,False,True,True
1127,False,True,True
1128,False,True,True
1129,False,True,True
1130,False,True,True
1131,False,True,True
1132,True,True,True
1133,True,True,True
1134,False,True,True
1135,False,True,True
1136,False,True,True
1137,False,True,True
1138,False,True,True
1139,False,True,True
1140,False,True,True
1141,False,True,True
1142,False,True,True
1143,True,True,True
1144,False,True,True
1145,False,True,True
1146,False,True,True
1147,False,True,True
1148,False,True,True
1149,False,True,True
1150,False,True,True
1151,False,True,True
1152,False,True,True
1153,False,True,True
1154,True,True,True
1155,False,True,True
1156,True,True,True
1157,False,True,True
1158,False,True,True
1159,False,True,True
1160,False,True,True
1161,False,True,True
1162,False,True,True
1163,False,True,True
1164,True,True,True
1165,False,True,True
1166,False,True,True
1167,False,True,True
1168,False,True,True
1169,False,True,True
1170,False,True,True
1171,False,True,True
1172,False,True,True
1173,False,True,True
1174,False,True,True
1175,False,True,True
1176,False,True,True
1177,False,True,True
1178,False,True,True
1179,False,True,True
1180,False,True,True
1181,False,True,True
1182,False,True,True
1183,False,True,True
1184,False,True,True
1185,False,True,True
1186,False,True,True
1187,False,True,True
1188,False,True,True
1189,False,True,True
1190,False,True,True
1191,True,True,True
1192,True,True,True
1193,False,True,True
1194,True,True,True
1195,False,True,True
1196,False,True,True
1197,False,True,True
1198,False,True,True
1199,False,True,True
1200,False,True,True
1201,False,True,True
1202,True,True,True
1203,False,True,True
1204,False,True,True
1205,False,True,True
1206,False,True,True
1207,False,True,True
1208,False,True,True
1209,False,True,True
1210,False,True,True
1211,False,True,True
1212,False,True,True
1213,False,True,True
1214,False,True,True
1215,False,True,True
1216,False,True,True
1217,False,True,True
1218,False,True,True
1219,True,True,True
1220,False,True,True
1221,False,True,True
1222,False,True,True
1223,False,True,True
1224,False,True,True
1225,True,True,True
1226,True,True,True
1227,False,True,True
1228,False,True,True
1229,False,True,True
1230,False,True,True
1231,False,True,True
1232,True,True,True
1233,True,True,True
1234,False,True,True
1235,False,True,True
1236,False,True,True
1237,False,True,True
1238,False,True,True
1239,False,True,True
1240,False,True,True
1241,False,True,True
1242,False,True,True
1243,False,True,True
1244,True,True,True
1245,False,True,True
1246,False,True,True
1247,False,True,True
1248,True,True,True
1250,False,True,True
1251,False,True,True
1252,False,True,True
1253,False,True,True
1254,False,True,True
1256,False,True,True
1257,False,True,True
1258,True,True,True
1259,True,True,True
1260,False,True,True
1261,False,True,True
1262,False,True,True
1263,False,True,True
1264,False,True,True
1265,False,True,True
1266,False,True,True
1267,False,True,True
1268,False,True,True
1269,False,True,True
1270,False,True,True
1271,False,True,True
1272,False,True,True
1273,False,True,True
1274,False,True,True
1275,False,True,True
1276,True,True,True
1277,True,True,True
1278,False,True,True
1279,False,True,True
1280,True,True,True
1281,False,True,True
1282,False,True,True
1283,False,True,True
1284,False,True,True
1285,False,True,True
1286,False,True,True
1287,False,True,True
1288,False,True,True
1289,False,True,True
1290,False,True,True
1291,True,True,True
1292,False,True,True
1293,True,True,True
1294,False,True,True
1295,True,True,True
1296,True,True,True
1297,False,True,True
1298,False,True,True
1300,False,True,True
1301,False,True,True
1302,False,True,True
1303,False,True,True
1304,False,True,True
1305,False,True,True
1306,False,True,True
1307,False,True,True
1308,False,True,True
1309,False,True,True
1310,False,True,True
1311,False,True,True
1312,False,True,True
1313,False,True,True
1314,False,True,True
1315,False,True,True
1316,False,True,True
1317,True,True,True
1318,False,True,True
1319,False,True,True
1320,False,True,True
1321,False,True,True
1322,False,True,True
1323,False,True,True
1324,False,True,True
1325,False,True,True
1326,False,True,True
1327,False,True,True
1328,True,True,True
1329,False,True,True
1330,False,True,True
1331,False,True,True
1332,False,True,True
1333,False,True,True
1334,True,True,True
1335,True,True,True
1336,False,True,True
1337,False,True,True
1338,False,True,True
1339,True,True,True
1340,False,True,True
1341,False,True,True
1342,True,True,True
1343,False,True,True
1344,False,True,True
1345,False,True,True
1346,False,True,True
1347,False,True,True
1348,False,True,True
1349,False,True,True
1350,False,True,True
1351,False,True,True
1352,False,True,True
1353,False,True,True
1354,False,True,True
1355,False,True,True
1356,False,True,True
1357,True,True,True
1359,False,True,True
1360,False,True,True
1361,False,True,True
1362,False,True,True
1363,False,True,True
1364,True,True,True
1365,True,True,True
1366,False,True,True
1367,False,True,True
1368,False,True,True
1369,False,True,True
1370,False,True,True
1371,True,True,True
1372,False,True,True
1373,True,True,True
1374,False,True,True
1375,False,True,True
1376,False,True,True
1377,True,True,True
1378,False,True,True
1379,False,True,True
1380,False,True,True
1381,False,True,True
1382,False,True,True
1383,False,True,True
1384,False,True,True
1385,False,True,True
1386,False,True,True
1387,False,True,True
1388,False,True,True
1389,True,True,True
1390,False,True,True
1391,False,True,True
1392,False,True,True
1393,False,True,True
1395,False,True,True
1396,False,True,True
1397,False,True,True
1398,False,True,True
1399,False,True,True
1400,False,True,True
1401,False,True,True
1402,False,True,True
1403,False,True,True
1404,True,True,True
1405,False,True,True
1406,False,True,True
1407,True,True,True
1408,False,True,True
1409,False,True,True
1410,True,True,True
1411,False,True,True
1412,False,True,True
1413,False,True,True
1414,False,True,True
1415,False,True,True
1416,False,True,True
1417,True,True,True
1418,False,True,True
1419,False,True,True
1420,False,True,True
1421,False,True,True
1422,False,True,True
1423,False,True,True
1424,False,True,True
1425,False,True,True
1426,False,True,True
1427,False,True,True
1428,False,True,True
1429,True,True,True
1430,False,True,True
1431,False,True,True
1432,False,True,True
1433,False,True,True
1434,False,True,True
1435,False,True,True
1436,False,True,True
1437,True,True,True
1438,False,True,True
1439,False,True,True
1440,False,True,True
1441,True,True,True
1442,False,True,True
1443,False,True,True
1444,False,True,True
1445,False,True,True
1446,False,True,True
1447,True,True,True
1448,False,True,True
1449,True,True,True
1450,False,True,True
1451,True,True,True
1452,True,True,True
1453,True,True,True
1454,False,True,True
1455,False,True,True
1456,False,True,True
1457,False,True,True
1458,False,True,True
1460,False,True,True
1461,False,True,True
1462,False,True,True
1463,False,True,True
1464,False,True,True
1465,False,True,True
1466,False,True,True
1467,False,True,True
1468,False,True,True
1469,False,True,True
1470,True,True,True
1471,False,True,True
1472,False,True,True
1473,True,True,True
1474,False,True,True
1475,False,True,True
1476,False,True,True
1477,False,True,True
1478,False,True,True
1479,False,True,True
1480,False,True,True
1481,False,True,True
1482,False,True,True
1483,False,True,True
1484,True,True,True
1485,False,True,True
1486,False,True,True
1487,False,True,True
1488,False,True,True
1489,False,True,True
1490,False,True,True
1491,True,True,True
1492,False,True,True
1493,False,True,True
1494,False,True,True
1495,False,True,True
1496,False,True,True
1497,False,True,True
1498,False,True,True
1499,False,True,True
1500,False,True,True
1501,False,True,True
1502,True,True,True
1503,False,True,True
1504,False,True,True
1505,False,True,True
1506,False,True,True
1507,False,True,True
1508,False,True,True
1509,True,True,True
1510,True,True,True
1511,False,True,True
1512,False,True,True
1513,False,True,True
1514,False,True,True
1515,False,True,True
1516,False,True,True
1517,False,True,True
1518,False,True,True
1519,False,True,True
1520,False,True,True
1521,False,True,True
1522,False,True,True
1523,False,True,True
1524,False,True,True
1525,True,True,True
1526,False,True,True
1527,True,True,True
1528,False,True,True
1529,True,True,True
1530,False,True,True
1531,False,True,True
1532,False,True,True
1533,False,True,True
1534,False,True,True
1535,False,True,True
1536,False,True,True
1537,False,True,True
1538,False,True,True
1539,False,True,True
1540,False,True,True
1541,False,True,True
1542,False,True,True
1543,False,True,True
1544,False,True,True
1545,False,True,True
1546,False,True,True
1547,False,True,True
1548,False,True,True
1549,False,True,True
1550,True,True,True
1551,False,True,True
1552,False,True,True
1553,False,True,True
1554,False,True,True
1555,False,True,True
1556,False,True,True
1557,False,True,True
1558,False,True,True
1559,False,True,True
1560,False,True,True
1561,False,True,True
1562,False,True,True
1563,False,True,True
1564,False,True,True
1565,False,True,True
1566,False,True,True
1567,False,True,True
1568,False,True,True
1569,False,True,True
1570,False,True,True
1571,False,True,True
1572,False,True,True
1573,False,True,True
1574,False,True,True
1575,False,True,True
1576,False,True,True
1577,False,True,True
1578,False,True,True
1579,False,True,True
1580,False,True,True
1581,False,True,True
1582,False,True,True
1584,False,True,True
1585,False,True,True
1586,False,True,True
1588,False,True,True
1589,False,True,True
1590,False,True,True
1591,False,True,True
1592,False,True,True
1593,False,True,True
1594,False,True,True
1595,False,True,True
1596,False,True,True
1597,False,True,True
1598,True,True,True
1599,False,True,True
1600,True,True,True
1601,False,True,True
1602,False,True,True
1603,False,True,True
1604,False,True,True
1605,False,True,True
1606,False,True,True
1607,False,True,True
1608,False,True,True
1609,False,True,True
1610,True,True,True
1611,True,True,True
1612,False,True,True
1613,False,True,True
1614,False,True,True
1615,False,True,True
1616,False,True,True
1617,False,True,True
1618,False,True,True
1619,False,True,True
1620,True,True,True
1621,False,True,True
1622,False,True,True
1623,False,True,True
1624,False,True,True
1625,False,True,True
1626,True,True,True
1627,False,True,True
1628,False,True,True
1629,False,True,True
1630,False,True,True
1631,False,True,True
1632,False,True,True
1633,False,True,True
1634,False,True,True
1635,False,True,True
1636,False,True,True
1637,False,True,True
1638,False,True,True
1639,False,True,True
1640,False,True,True
1641,False,True,True
1642,False,True,True
1644,True,True,True
1645,False,True,True
1646,True,True,True
1647,False,True,True
1648,False,True,True
1649,False,True,True
1650,False,True,True
1651,False,True,True
1652,False,True,True
1653,False,True,True
1655,False,True,True
1656,False,True,True
1657,False,True,True
1658,False,True,True
1659,False,True,True
1660,True,True,True
1661,False,True,True
1662,False,True,True
1663,True,True,True
1664,False,True,True
1665,False,True,True
1666,False,True,True
1668,False,True,True
1669,False,True,True
1670,False,True,True
1671,False,True,True
1672,False,True,True
1673,True,True,True
1674,False,True,True
1675,False,True,True
1676,False,True,True
1677,False,True,True
1678,False,True,True
1679,False,True,True
1680,False,True,True
1681,False,True,True
1682,False,True,True
1683,False,True,True
1684,False,True,True
1685,False,True,True
1686,False,True,True
1687,False,True,True
1688,False,True,True
1689,True,True,True
1690,False,True,True
1691,True,True,True
1692,False,True,True
1693,False,True,True
1694,False,True,True
1695,False,True,True
1696,False,True,True
1697,False,True,True
1698,False,True,True
1699,False,True,True
1700,False,True,True
